axis,axis_bin,data_type,gt_type,pollutant,value,gt_value,error_pct,bin_start_m,bin_center_m,bin_end_m
x,5.0,trim,ground_truth,NOx,3.4448899323756423,5.208764122561938,-33.8635835427067,129.0,139.0,149.0
x,6.0,trim,ground_truth,NOx,2.748377206095036,3.9767399798741403,-30.888687216054304,149.0,159.0,169.0
x,7.0,trim,ground_truth,NOx,2.3091422759713796,2.902555515926924,-20.44450956060488,169.0,179.0,189.0
x,8.0,trim,ground_truth,NOx,2.2526240889480844,2.7011211469171554,-16.604107464078382,189.0,199.0,209.0
x,9.0,trim,ground_truth,NOx,2.3334319080274,3.8511215019675373,-39.40902911436967,209.0,219.0,229.0
x,10.0,trim,ground_truth,NOx,2.49040893508983,3.2223064614359385,-22.713467359648874,229.0,239.0,249.0
x,11.0,trim,ground_truth,NOx,2.4883695272633193,2.5440705706407782,-2.189445686777056,249.0,259.0,269.0
x,12.0,trim,ground_truth,NOx,2.580810628219496,3.0695971771612305,-15.923475320425112,269.0,279.0,289.0
x,13.0,trim,ground_truth,NOx,3.076180661045194,3.235808198878527,-4.93315821032461,289.0,299.0,309.0
x,14.0,trim,ground_truth,NOx,3.5643910390835587,4.1194060851808025,-13.473181197014327,309.0,319.0,329.0
x,15.0,trim,ground_truth,NOx,4.533787570273818,5.274059560098003,-14.036094613433404,329.0,339.0,349.0
x,16.0,trim,ground_truth,NOx,7.854953837848634,6.1603612377920856,27.508006992523413,349.0,359.0,369.0
x,17.0,trim,ground_truth,NOx,5.323003265765144,5.795925759883672,-8.159567836286774,369.0,379.0,389.0
x,0.0,trim,ground_truth,PM2.5,0.13997739409501903,0.2510649501739929,-44.246540985505156,29.0,39.0,49.0
x,1.0,trim,ground_truth,PM2.5,0.22178339319553156,0.21931729618132154,1.1244425574949484,49.0,59.0,69.0
x,2.0,trim,ground_truth,PM2.5,0.46564116000658345,0.21214964037693204,119.48713143197705,69.0,79.0,89.0
x,3.0,trim,ground_truth,PM2.5,0.28148727392512746,0.2542100491744371,10.730191367050518,89.0,99.0,109.0
x,4.0,trim,ground_truth,PM2.5,0.1913563939413786,0.24816988685997324,-22.89298417202847,109.0,119.0,129.0
x,5.0,trim,ground_truth,PM2.5,0.1252694373579023,0.2141530010080387,-41.50470141989743,129.0,139.0,149.0
x,6.0,trim,ground_truth,PM2.5,0.09429497795841102,0.1597440064497043,-40.97119506759086,149.0,159.0,169.0
x,7.0,trim,ground_truth,PM2.5,0.07973584319367175,0.1224357781172015,-34.875373506145635,169.0,179.0,189.0
x,8.0,trim,ground_truth,PM2.5,0.07450608294029028,0.11587669149353588,-35.702269386551684,189.0,199.0,209.0
x,9.0,trim,ground_truth,PM2.5,0.07607364041926022,0.19136542162231296,-60.246924562263686,209.0,219.0,229.0
x,10.0,trim,ground_truth,PM2.5,0.08090281570954978,0.16273517026685372,-50.2855986343425,229.0,239.0,249.0
x,11.0,trim,ground_truth,PM2.5,0.08278208071800086,0.10504794737974844,-21.19590836102342,249.0,259.0,269.0
x,12.0,trim,ground_truth,PM2.5,0.08948017700741079,0.11840419874373045,-24.42820613052897,269.0,279.0,289.0
x,13.0,trim,ground_truth,PM2.5,0.1079897944879229,0.13456194828979728,-19.74715299502626,289.0,299.0,309.0
x,14.0,trim,ground_truth,PM2.5,0.13077878777857577,0.1694767090984222,-22.833769622805764,309.0,319.0,329.0
x,15.0,trim,ground_truth,PM2.5,0.17900867325400155,0.2133309655368978,-16.08875307741475,329.0,339.0,349.0
x,16.0,trim,ground_truth,PM2.5,0.35903630891697186,0.23331783228845823,53.88292673364284,349.0,359.0,369.0
x,17.0,trim,ground_truth,PM2.5,0.22257831104105782,0.1836769993383014,21.179196003255104,369.0,379.0,389.0
