speed_kmh,q1,q99,vehicle_type,q1_smooth,q99_smooth
9,-1.5232131318327973,1.5740328354203916,sedan,-1.6439909147286467,1.5539725507083406
10,-1.541930363593603,1.5657056143112706,sedan,-1.6597523847426192,1.5713469124137258
11,-1.5733892711948438,1.5759596307692298,sedan,-1.6596091382997624,1.582501198766598
12,-1.5892197344902386,1.5639878716323308,sedan,-1.65352775047765,1.5815873479074374
13,-1.6425272768635044,1.5674140743801648,sedan,-1.6499102656733562,1.5797260384795662
14,-1.6678583,1.568173904403016,sedan,-1.658685142393948,1.5758782038791963
15,-1.7135690922058073,1.5641577051282074,sedan,-1.6880708289634192,1.5685843958039247
16,-1.7311252428638277,1.559451303765689,sedan,-1.7330857111334623,1.5653648635877984
17,-1.7885746827927431,1.5689361168890936,sedan,-1.7719489509978665,1.5622477308790632
18,-1.796778329930145,1.5578158645104876,sedan,-1.8007739413157258,1.5583481673809592
19,-1.8411587981961668,1.5586866124314436,sedan,-1.8249019247653153,1.552401003956871
20,-1.849007729792148,1.5483786882946087,sedan,-1.846934626160285,1.5465859098226071
21,-1.8683767963721474,1.54047017185323,sedan,-1.860483109583664,1.5369898651239662
22,-1.8627453590826795,1.5218176205787772,sedan,-1.8745675001402315,1.5273802517118371
23,-1.8908610333333333,1.5205351330232573,sedan,-1.8810270942366043,1.5155945396721227
24,-1.8675582466986795,1.496806823137745,sedan,-1.8857108188182636,1.5024768803815811
25,-1.8897194927076728,1.4876307734553784,sedan,-1.8832140343836197,1.486764081991999
26,-1.8779610246189917,1.4733121759218117,sedan,-1.8808966717142033,1.4723786951469637
27,-1.8809908882175228,1.4576610043881053,sedan,-1.870405205609569,1.4550917133498746
28,-1.8523734251012145,1.432986519319227,sedan,-1.8620852814492275,1.439328498017493
29,-1.8694741365558911,1.430222710289237,sedan,-1.847592352572703,1.4219241190148737
30,-1.8156200748074807,1.3981867049559984,sedan,-1.8323287740813385,1.4052110928822015
31,-1.819733779935275,1.387544180270408,sedan,-1.8109082592383319,1.386260419224729
32,-1.7801349727709557,1.3644780189655168,sedan,-1.79123793238781,1.369624014683037
33,-1.7713263639291466,1.3566853114754083,sedan,-1.763755156781257,1.3500748959861308
34,-1.7247555321637427,1.3234321004934946,sedan,-1.739606941119241,1.3321018662789412
35,-1.7324429458128079,1.3220799313459786,sedan,-1.709614378652648,1.3122056645096325
36,-1.665458671219512,1.2867138085867595,sedan,-1.6815335874632407,1.293015702793455
37,-1.6591518120672601,1.277776596819456,sedan,-1.6490581830112212,1.2716182484831653
38,-1.6099274052317576,1.247497076601087,sedan,-1.620991977003638,1.2521069881442803
39,-1.5987558301526719,1.2398148597701129,sedan,-1.5852844229571172,1.2294938527438641
40,-1.5385707752148348,1.1990901577123065,sedan,-1.5548070009215376,1.2083986956080048
41,-1.540015777452416,1.1947531735205639,sedan,-1.519027574873843,1.1853809083753448
42,-1.4657775432098765,1.153754273701565,sedan,-1.487407884870945,1.1643021534226698
43,-1.4695589681710215,1.1484517243293269,sedan,-1.4519600063040345,1.1411760044417822
44,-1.4132415761527712,1.1153502930787575,sedan,-1.4237285585694677,1.1214906231920223
45,-1.3980658237623762,1.1038715716381404,sedan,-1.3890523991325128,1.0995555564881292
46,-1.3380229281045752,1.0711533413173642,sedan,-1.3623828898207226,1.080897010606479
47,-1.3507862428211588,1.0676611541916174,sedan,-1.3309261768844396,1.0605592042379548
48,-1.2814739408528197,1.034540941828254,sedan,-1.3054539401120524,1.0429839721914957
49,-1.2935401150855366,1.0300520750000002,sedan,-1.2753384778659105,1.0233422540911419
50,-1.2398453585280955,1.0033484799301904,sedan,-1.2508550152191782,1.0067171502941576
51,-1.2407001246641591,0.9976140793571062,sedan,-1.2195234987720203,0.9871661928503666
52,-1.1789519841348537,0.9646611067496408,sedan,-1.1962079664891772,0.9711439251948335
53,-1.201155007981756,0.9639527237113392,sedan,-1.1683768695842947,0.9535216656602005
54,-1.1188474594594595,0.9276057483690576,sedan,-1.1453095760189047,0.9381601762846229
55,-1.1353833263621353,0.9255549710144924,sedan,-1.1185124161819688,0.9217317903213441
56,-1.0738305272636317,0.9005639097488294,sedan,-1.0984981704884484,0.9083539642711123
57,-1.0781716157407408,0.8959170501600852,sedan,-1.0727195995158132,0.8930218932045473
58,-1.034631531034483,0.8710759777440558,sedan,-1.0548196739161955,0.8809742956784025
59,-1.060150796460177,0.8785011807228903,sedan,-1.0327474976317994,0.8675465664146691
60,-0.9974173862068966,0.8502786278505577,sedan,-1.0156401468694543,0.8563393573476248
